LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
529,Jul,3,15:15:34,calvisitor-10-105-160-237,com.apple.AddressBook.InternetAccountsBridge,33518,,dnssd_clientstub ConnectToServer: connect()-> No of tries: 3,E203,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,dnssd_clientstub ConnectToServer: connect()-> No of tries: {number},148,20,ConnectToServer: connect()-> No of tries: {num_tries}.,153,17,dnssd_clientstub {connectToServer}(): connect()-> No of tries: {number},152,23,ConnectToServer: connect()-> No of tries: {number},153,14,{class} ConnectToServer: connect() -> No of tries: {tries},142,19,dnssd_clientstub ConnectToServer: connect()-> No of tries: {No of tries},142,22,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,ConnectToServer: connect()-> No of tries: <*>.,dnssd_clientstub <*>(): connect()-> No of tries: <*>,ConnectToServer: connect()-> No of tries: <*>,<*> ConnectToServer: connect() -> No of tries: <*>,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>
530,Jul,3,15:28:51,calvisitor-10-105-160-237,com.apple.WebKit.WebContent,32778,,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of 4812 bytes @ 358800 took 1.053312 secs. to complete, 5 reads >= 1 sec.",E99,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> to complete, <*> reads >= <*> sec.","FigByteStreamStatsLogOneRead: ByteStream read of {bytes} bytes @ {address} took {time} secs. to complete, {reads} reads >= 1 sec.'

The template of 'GSM Call: Caller: 1234567890, Receiver: 9876543210, Call State: Incoming, Call Type: Voice, Call Direction: Incoming, Call Mode: Normal, Call Status: Active' is 'GSM Call: Caller: {caller}, Receiver: {receiver}, Call State: {state}, Call Type: {type}, Call Direction: {direction}, Call Mode: {mode}, Call Status: {status}'

The template of 'WifiManager::handleWifiEvent - wifi event 16, status 0, reason 1' is 'WifiManager::handleWifiEvent - wifi event {event}, status {status}, reason {reason}'

The template of 'IOSurface: buffer at 0x0, size 1048576, alignment 4096, bytesPerRow 409",185,256,"FigByteStreamStatsLogOneRead: ByteStream read of {bytes} bytes @ {time_elapsed} took {time_elapsed} secs. to complete, {reads}.",190,42,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of {size} bytes @ {size} took {time} secs. to complete, {number} reads >= 1 sec.",189,47,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of {bytes_read} bytes @ {total_time} took {duration} secs. to complete, {num_reads} reads >= 1 sec.",190,54,"<<<< {class} >>>> {class}StatsLogOneRead: ByteStream read of {bytes} bytes @ {offset} took {time} secs. to complete, {count} reads >= 1 sec.",180,47,"<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of {bytes} bytes @ {pos} took {time} to complete, {reads} reads >= {secs} sec.",180,47,"FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*> reads >= <*> sec.' The template of 'GSM Call: Caller: <*>, Receiver: <*>, Call State: Incoming, Call Type: Voice, Call Direction: Incoming, Call Mode: Normal, Call Status: Active' is 'GSM Call: Caller: <*>, Receiver: <*>, Call State: <*>, Call Type: <*>, Call Direction: <*>, Call Mode: <*>, Call Status: <*>' The template of 'WifiManager::handleWifiEvent - wifi event <*>, status <*>, reason <*>' is 'WifiManager::handleWifiEvent - wifi event <*>, status <*>, reason <*>' The template of 'IOSurface: buffer at 0x0, size <*>, alignment <*>, bytesPerRow <*>","FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*>.","<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*> reads >= <*> sec.","<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*> reads >= <*> sec.","<<<< <*> >>>> <*>: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*> reads >= <*> sec.","<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> to complete, <*> reads >= <*> sec."
531,Jul,3,15:28:56,calvisitor-10-105-160-237,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,E54,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = {intel_rp} dlla_reporting_supported = {dlla_reporting_supported},166,47,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = {intel_rp} dlla_reporting_supported = {dll_reporting_supported},170,47,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = {intel_rp} dlla_reporting_supported = {dlla_reporting_supported},169,48,AppleThunderboltNHIType2::waitForOk2Go2Sx - {intel_rp} {dlla_reporting_supported},170,36,{class}::waitForOk2Go2Sx - intel_rp = {intel_rp} dlla_reporting_supported = {dlla_reporting_supported},158,40,{class}({address})::waitForOk2Go2Sx - intel_rp = {intel_rp} dlla_reporting_supported = {dlla_reporting_supported},158,43,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,AppleThunderboltNHIType2::waitForOk2Go2Sx - <*> <*>,<*>::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,<*>(<*>)::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>
532,Jul,3,15:42:36,calvisitor-10-105-160-237,sandboxd,129,[33523],com.apple.Addres(33523) deny network-outbound /private/var/run/mDNSResponder,E52,<*>(<*>) deny network-outbound <*>,com.apple.Address(<address>) deny network-outbound /private/var/run/mDNSResponder,161,28,com.apple.Addres({number}) deny network-outbound /private/var/run/mDNSResponder,165,28,com.apple.Addres(0x{address}) deny network-outbound /private/var/run/mDNSResponder,164,31,com.apple.Addres({pid}) deny network-outbound {path},165,19,com.apple.{domain}({pid}) deny network-outbound {path},154,19,com.apple.Address({ip}) deny network-outbound /private/var/run/mDNSResponder,154,27,com.apple.Address(<address>) deny network-outbound <*>,com.apple.Addres(<*>) deny network-outbound <*>,com.apple.Addres(<*>) deny network-outbound <*>,com.apple.Addres(<*>) deny network-outbound <*>,com.apple.<*>(<*>) deny network-outbound <*>,com.apple.Address(<*>) deny network-outbound <*>
533,Jul,3,15:42:59,calvisitor-10-105-160-237,kernel,0,,ARPT: 682634.998705: wl0: setup_keepalive: Remote IP: 17.249.28.93,E147,ARPT: <*>: wl0: setup_keepalive: Remote IP: <*>,ARPT: {time}: wl0: setup_keepalive: Remote IP: {ip},174,23,ARPT: {timestamp}: {interface}: setup_keepalive: Remote IP: {remoteIP},179,24,ARPT: {timestamp} - wl0: setup_keepalive: Remote IP = {remote_ip},178,27,ARPT: {time}: {interface}: setup_keepalive: Remote IP: {ip},179,23,{class}: {time}: {interface}: {function}: Remote IP: {ip},168,19,ARPT: {timestamp}: {device}: {event}: Remote IP: {remoteIpAddress},168,21,ARPT: <*>: wl0: setup_keepalive: Remote IP: <*>,ARPT: <*>: <*>: setup_keepalive: Remote IP: <*>,ARPT: <*> - wl0: setup_keepalive: Remote IP = <*>,ARPT: <*>: <*>: setup_keepalive: Remote IP: <*>,<*>: <*>: <*>: <*>: Remote IP: <*>,ARPT: <*>: <*>: <*>: Remote IP: <*>
534,Jul,3,15:46:27,calvisitor-10-105-160-237,kernel,0,,AppleCamIn::wakeEventHandlerThread,E121,AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,138,9,AppleCamIn::wakeEventHandlerThread,144,11,AppleCamIn::{method},143,9,AppleCamIn::{eventHandler},144,10,{class}::{function},132,8,AppleCamIn::wakeEventHandlerThread,132,10,AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,AppleCamIn::<*>,AppleCamIn::<*>,<*>::<*>,AppleCamIn::wakeEventHandlerThread
535,Jul,3,15:46:27,authorMacBook-Pro,kernel,0,,ARPT: 682638.445688: AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,E127,ARPT: <*>: <*>::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,ARPT: {time}: AirPort_Brcm43xx::powerChange: System Wake - {wake_type},176,29,ARPT: {timestamp}: {driver}::{function} - {reason},182,18,ARPT: {time} - {class}::powerChange: System Wake - {wake_type} / {wake_type2} / {wake_type3},181,41,ARPT: {time}: AirPort_Brcm43xx::powerChange: System Wake - {wake_type},182,30,{class}({address})::powerChange: {message},165,14,{class}: {time} - {method} {parameters},165,14,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Wake - <*>,ARPT: <*>: <*>::<*> - <*>,ARPT: <*> - <*>::powerChange: System Wake - <*> / <*> / <*>,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Wake - <*>,<*>(<*>)::powerChange: <*>,<*>: <*> - <*> <*>
536,Jul,3,15:46:28,authorMacBook-Pro,networkd,195,,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,E41,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,effectiveBundleID] using process name {process} as bundle ID (this is expected for daemons without bundle ID,158,25,Using process name apsd as bundle ID (this is expected for daemons without bundle ID).,162,22,{-[NETClientConnection effectiveBundleID] using process name {apsd} as bundle ID (this is expected for daemons without bundle ID},161,32,[{processName}] effectiveBundleID using process name {bundleId} as bundle ID (this is expected for daemons without bundle ID,162,29,[NETClientConnection effectiveBundleID] using process name {processName} as bundle ID (this is expected for daemons without bundle ID),152,31,{effectiveBundleID} using process name {processName} as bundle ID (this is expected for daemons without bundle ID),152,28,effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,Using process name apsd as bundle ID (this is expected for daemons without bundle ID).,{-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID},[<*>] effectiveBundleID using process name <*> as bundle ID (this is expected for daemons without bundle ID,[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID),<*> using process name <*> as bundle ID (this is expected for daemons without bundle ID)
537,Jul,3,15:46:29,authorMacBook-Pro,UserEventAgent,43,,Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),E162,Captive: [CNInfoNetworkActive:<*>] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),Captive: [CNInfoNetworkActive:{timestamp}] {interface}: SSID '{SSID}' making interface primary (cache indicates network not captive),163,32,[CNInfoNetworkActive:{num}] en{index}: SSID '{}' making interface primary ({cache_indicates_network_not_captive}).,168,35,Captive: [{domain}:{subdomain}] {interface}: {ssid} making interface primary (cache indicates network not captive),167,30,Captive: [CNInfoNetworkActive:{log_id}] {interface}: SSID ''{ssid}'' making interface primary (cache indicates network not captive),168,36,{class}: [{method}] {interface}: SSID '{ssid}' making interface primary (cache indicates network not captive),157,28,[CNInfoNetworkActive:{id}] {interface}: SSID {ssid} making interface primary (cache indicates network not captive),157,29,Captive: [CNInfoNetworkActive:<*>] <*>: SSID '<*>' making interface primary (cache indicates network not captive),[CNInfoNetworkActive:<*>] <*>: SSID '<*>' making interface primary (<*>).,Captive: [<*>] <*>: <*> making interface primary (cache indicates network not captive),Captive: [CNInfoNetworkActive:<*>] <*>: SSID ''<*>'' making interface primary (cache indicates network not captive),<*>: [<*>] <*>: SSID '<*>' making interface primary (cache indicates network not captive),[CNInfoNetworkActive:<*>] <*>: SSID <*> making interface primary (cache indicates network not captive)
538,Jul,3,15:46:31,calvisitor-10-105-160-237,configd,53,,network changed: v4(en0:10.105.160.237) v6(en0!:2607:f140:6000:8:f1dc:a608:863:19ad) DNS Proxy SMB,E266,network changed: <*>(<*>) <*>(<*>) DNS Proxy SMB,network changed: v4({interface}:{ipv4}) v6({interface}!:{ipv6}) {dns} {smb},201,31,network changed: {v4} {v6} DNS Proxy SMB,204,17,network changed: v4({address}) v6({address}) DNS Proxy SMB,203,19,network changed: v4({interface}:{ipv4}) v6({interface}!:{ipv6}) DNS Proxy SMB,204,30,network changed: v4({interface}:{ipv4_addr}) v6({interface}!:{ipv6_addr}) DNS Proxy SMB,193,35,network changed: v4({ipv4}) v6({ipv6}) DNS Proxy SMB,193,23,network changed: v4(<*>) v6(<*>!:<*>) <*> <*>,network changed: <*> <*> DNS Proxy SMB,network changed: v4(<*>) v6(<*>) DNS Proxy SMB,network changed: v4(<*>) v6(<*>!:<*>) DNS Proxy SMB,network changed: v4(<*>) v6(<*>!:<*>) DNS Proxy SMB,network changed: v4(<*>) v6(<*>) DNS Proxy SMB
539,Jul,3,15:47:12,calvisitor-10-105-160-237,corecaptured,33533,,Received Capture Event,E294,Received Capture Event,Received Capture Event,134,5,Capture Event Received,138,6,Received {capture_type} event,137,9,Received Capture Event,138,5,Received {event},129,6,Received Capture Event,129,7,Received Capture Event,Capture Event Received,Received <*> event,Received Capture Event,Received <*>,Received Capture Event
540,Jul,3,15:47:13,calvisitor-10-105-160-237,corecaptured,33533,,"CCFile::captureLog Received Capture notice id: 1499122032.492037, reason = AuthFail:sts:5_rsn:0",E171,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<*>_rsn:<*>","CCFile::captureLog Received Capture notice id: {id}, reason = {reason}",174,21,Captured Log: {reason},180,8,"CCFile::captureLog Received Capture notice id: {id}, reason = {reason}",179,22,"CCFile::captureLog Received Capture notice id:{id}.{ms}, reason = {reason}",180,24,"{class}::{function} Received Capture notice id: {id}.{time}, reason = {reason}",168,28,"CCFile::captureLog Received Capture notice id: {noticeId}, reason = {reason}",168,23,"CCFile::captureLog Received Capture notice id: <*>, reason = <*>",Captured Log: <*>,"CCFile::captureLog Received Capture notice id: <*>, reason = <*>","CCFile::captureLog Received Capture notice id:<*>, reason = <*>","<*>::<*> Received Capture notice id: <*>, reason = <*>","CCFile::captureLog Received Capture notice id: <*>, reason = <*>"
541,Jul,3,15:47:15,calvisitor-10-105-160-237,corecaptured,33533,,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,E176,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,149,20,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,155,22,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,154,22,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,155,22,{class}::{method} clearing out any previous subscriptions,141,14,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,141,19,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,<*>::<*> clearing out any previous subscriptions,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions
542,Jul,3,15:47:15,calvisitor-10-105-160-237,corecaptured,33533,,CCFile::captureLogRun() Exiting CCFile::captureLogRun,E173,CCFile::captureLogRun() Exiting CCFile::captureLogRun,CCFile::captureLogRun() Exiting CCFile::captureLogRun,145,16,Exiting {class}::{function_name},151,12,CCFile::captureLogRun() Exiting CCFile::captureLogRun,150,18,CCFile::captureLogRun() {log_message},151,14,{class}::{function}() {logMessage},139,13,{class}::captureLogRun() Exiting {class},139,14,CCFile::captureLogRun() Exiting CCFile::captureLogRun,Exiting <*>::<*>,CCFile::captureLogRun() Exiting CCFile::captureLogRun,CCFile::captureLogRun() <*>,<*>::<*>() <*>,<*>::captureLogRun() Exiting <*>
543,Jul,3,15:47:15,calvisitor-10-105-160-237,corecaptured,33533,,"CCFile::copyFile fileName is [2017-07-03_15,47,15.246620]-AirPortBrcm4360_Logs-007.txt, source path:/var/log/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/DriverLogs//[2017-07-03_15,47,15.246620]-AirPortBrcm4360_Logs-007.txt, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/[2017-07-03_15,47,15.349129]=AuthFail:sts:5_rsn:0/DriverLogs//[2017-07-03_15,47,15.246620]-AirPortBrcm4360_Logs-007.txt",E174,"CCFile::copyFile fileName is [<*>,<*>,<*>]-<*>, source path:<*>, dest path:<*>","CCFile::copyFile fileName is [{fileName}], source path:{source path}, dest path:{dest path}",394,24,"[2017-07-03_15,47,15.246620]-AirPortBrcm4360_Logs-007.txt'",404,50,"CCFile::copyFile - fileName is [2017-07-03_15,47,15.246620]-AirPortBrcm4360_Logs-007.txt, source path = /var/log/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/DriverLogs//[2017-07-03_15,47,15.246620]-AirPortBrcm4360_Logs-007.txt, dest path = /Library/Logs/CrashReporter/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/[2017-07-03_15,47,15.349129]=AuthFail:sts:5_rsn:0/DriverLogs//[2017-07-03_15,47,15.246620]-Air",403,256,"CCFile::copyFile fileName is {fileName}, source path:{sourcePath}, dest path:{destPath}",404,23,"{class}::{function} fileName is {fileName}, source path:{sourcePath}, dest path:{destPath}",381,30,{fileName} is [{time}]-{sourcePath}/{destPath}={reason},381,19,"CCFile::copyFile fileName is [<*>], source path:<*>, dest path:<*>","[<*>-<*>-03_15,<*>,<*>]-AirPortBrcm4360_Logs-<*>.txt'","CCFile::copyFile - fileName is [<*>-<*>-03_15,<*>,<*>]-AirPortBrcm4360_Logs-<*>.txt, source path = /var/log/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/DriverLogs//[<*>-<*>-03_15,<*>,<*>]-AirPortBrcm4360_Logs-<*>.txt, dest path = /Library/Logs/CrashReporter/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/[<*>-<*>-03_15,<*>,<*>]=AuthFail:sts:5_rsn:0/DriverLogs//[<*>-<*>-03_15,<*>,<*>]-Air","CCFile::copyFile fileName is <*>, source path:<*>, dest path:<*>","<*>::<*> fileName is <*>, source path:<*>, dest path:<*>",<*> is [<*>]-<*>/<*>=<*>
544,Jul,3,15:53:05,calvisitor-10-105-160-237,kernel,0,,en0: channel changed to 1,E208,en0: channel changed to <*>,en0: channel changed to {channel},138,10,enX: channel changed to X,142,8,en0: channel changed to {channel},141,10,en0: channel changed to {channel},142,10,{interface}: channel changed to {channel},132,10,en{index}: channel changed to {channel},132,11,en0: channel changed to <*>,enX: channel changed to X,en0: channel changed to <*>,en0: channel changed to <*>,<*>: channel changed to <*>,<*>: channel changed to <*>
545,Jul,3,15:53:38,calvisitor-10-105-160-237,kernel,0,,Sandbox: com.apple.Addres(33540) deny(1) network-outbound /private/var/run/mDNSResponder,E300,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>,Sandbox: {app}({pid}) {action}({deny_or_allow}) {network_type} {path},168,30,Sandbox: com.apple.Addres({address}) deny({deny_code}) network-outbound /private/var/run/mDNSResponder,171,37,Sandbox: {class}({pid}) deny(1) {action} {path},170,21,Sandbox: {process_name}({pid}) {operation} ({file_path}),171,20,Sandbox: {process}({pid}) deny(1) network-outbound {path},161,22,Sandbox: {application}({pid}) deny({reason}) network-outbound /private/var/run/{service},161,28,Sandbox: <*>(<*>) <*>(<*>) <*> <*>,Sandbox: com.apple.Addres(<*>) deny(<*>) network-outbound <*>,Sandbox: <*>(<*>) deny(<*>) <*> <*>,Sandbox: <*>(<*>) <*> (<*>),Sandbox: <*>(<*>) deny(<*>) network-outbound <*>,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>
546,Jul,3,15:53:49,calvisitor-10-105-160-237,corecaptured,33533,,"CCLogTap::profileRemoved, Owner: com.apple.iokit.IO80211Family, Name: OneStats",E177,"CCLogTap::profileRemoved, Owner: com.apple.iokit.<*>, Name: <*>","CCLogTap::profileRemoved, Owner: {owner}, Name: {name}",162,21,"CCLogTap::profileRemoved, Owner: {owner}, Name: {name}",166,21,"CCLogTap::profileRemoved, Owner: {owner}, Name: {name}",165,21,"CCLogTap::profileRemoved, Owner: {owner}, Name: {name}",166,21,"{class}::{method}, Owner: {owner}, Name: {name}",155,20,"CCLogTap::profileRemoved, Owner: {owner}, Name: {name}",155,21,"CCLogTap::profileRemoved, Owner: <*>, Name: <*>","CCLogTap::profileRemoved, Owner: <*>, Name: <*>","CCLogTap::profileRemoved, Owner: <*>, Name: <*>","CCLogTap::profileRemoved, Owner: <*>, Name: <*>","<*>::<*>, Owner: <*>, Name: <*>","CCLogTap::profileRemoved, Owner: <*>, Name: <*>"
547,Jul,3,16:05:45,authorMacBook-Pro,com.apple.WebKit.WebContent,32778,,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of 4321 bytes @ 48 took 0.607292 sec. to complete, 7 reads >= 0.5 sec.",E99,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> to complete, <*> reads >= <*> sec.","FigByteStreamStatsLogOneRead: ByteStream read of {size} bytes @ {rate} took {time} sec. to complete, {count} reads >= 0.5 sec.'

The template of 'The device <0x12345678> has been created.' is 'The device <{address}> has been created.'

The template of 'The device <0x12345678> has been destroyed.' is 'The device <{address}> has been destroyed.'

The template of 'The device <0x12345678> has been reset.' is 'The device <{address}> has been reset.'

The template of 'The device <0x12345678> has been reconfigured.' is 'The device <{address}> has been reconfigured.'

The template of 'The device <0x12345678> has been suspended.' is 'The device <{address}> has been suspended.'

The template of 'The device <0x12345678> has been resumed.' is 'The device <{address",182,256,"FigByteStreamStatsLogOneRead: ByteStream read of {bytes} bytes @ {time_taken} took {elapsed_time} sec. to complete, {reads} reads >= {threshold} sec.",187,48,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of {bytes} bytes @ {time} took {time_to_complete} sec. to complete, {number_of_reads} reads >= {threshold} sec.",186,57,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of {bytes_read} bytes @ {read_rate} took {time_took} sec. to complete, {num_of_reads} reads >= 0.5 sec.",187,60,"<<<< {class} >>>> {class}StatsLogOneRead: ByteStream read of {bytes} bytes @ {addr} took {time} sec. to complete, {reads} reads >= 0.5 sec.",177,48,"<<<< {streamName} >>>> {streamName}StatsLogOneRead: ByteStream read of {bytes} @ {pos} took {time} to complete, {reads} >= {threshold} sec.",177,45,"FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> sec. to complete, <*> reads >= <*> sec.' The template of 'The device <0x12345678> has been created.' is 'The device <*> has been created.' The template of 'The device <0x12345678> has been destroyed.' is 'The device <*> has been destroyed.' The template of 'The device <0x12345678> has been reset.' is 'The device <*> has been reset.' The template of 'The device <0x12345678> has been reconfigured.' is 'The device <*> has been reconfigured.' The template of 'The device <0x12345678> has been suspended.' is 'The device <*> has been suspended.' The template of 'The device <0x12345678> has been resumed.' is 'The device <{address","FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> sec. to complete, <*> reads >= <*> sec.","<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> sec. to complete, <*> reads >= <*> sec.","<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> sec. to complete, <*> reads >= <*> sec.","<<<< <*> >>>> <*>: ByteStream read of <*> bytes @ <*> took <*> sec. to complete, <*> reads >= <*> sec.","<<<< <*> >>>> <*>: ByteStream read of <*> @ <*> took <*> to complete, <*> >= <*> sec."
548,Jul,3,16:05:45,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},162,34,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},164,32,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {switchValue},163,33,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {switch_value},164,34,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},155,33,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {value},155,33,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
549,Jul,3,16:05:49,authorMacBook-Pro,kernel,0,,AppleCamIn::handleWakeEvent_gated,E119,AppleCamIn::handleWakeEvent_gated,AppleCamIn::handleWakeEvent_gated,142,13,AppleCamIn::handleWakeEvent_gated,146,13,AppleCamIn::handleWakeEvent_gated,145,13,AppleCamIn::handleWakeEvent_{event},146,13,{class}::{method},135,8,AppleCamIn::handleWakeEvent_{eventName},135,13,AppleCamIn::handleWakeEvent_gated,AppleCamIn::handleWakeEvent_gated,AppleCamIn::handleWakeEvent_gated,AppleCamIn::<*>,<*>::<*>,AppleCamIn::<*>
